SV,UMV,LMV,X/T_WV,FL_WV,PHV,THV,THSKV,THSGIV,THSGIHV,GIHV,SSSVStatus,TxA,B Annulus, Natural Flowing,Communication,Complex vs Satellite,Conductor Vibration, Ship Lane Hazard, Structure Problem,Resort Proximity,H2S PPM, BOPD Impact,G.Gas  MMSCFD,RISK Category
L,L,H,NA,H,H,H,NT,NT,ST.OP,NT,H,N,NA,N,N,S,N,N,N,N,NT,120,4.3,Cat 3
H,H,H,H,L,L,L,NA,NT,NT,NT,NT,NT,NA,Y,NT,S,N,N,N,N,250,0,3.6,Cat 2
H,L,H,NA,L,L,L,H,NT,NT,NT,NT,NT,NA,N,NT,S,N,N,N,N,300,0,2.8,Cat 3
H,P,H,P,H,ST.OP,ST.OP,NA,H,P,NT,NT,Y,NT,N,Y,S,N,N,N,N,250,0,3.6,Cat 5
H,L,L,H,H,H,NA,NT,H,L,H,H,NT,NT,N,NT,S,N,N,N,N,220,760,2.1,Cat 3
H,H,L,NA,H,I,I,NT,I,I,I,NT,NT,NT,Y,NT,S,N,N,N,N,NT,0,0.5,Cat 2
H,H,L,NA,H,H,NA,H,H,H,H,H,Y,NT,N,Y,S,N,N,N,N,900,500,3,Cat 4
NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,Y,NT,Y,Y,S,Y,N,N,N,NT,0,0.5,Cat 1
NT,L,L,NA,L,NT,NT,NT,NT,NT,NT,NT,NT,NT,N,NT,S,N,N,N,N,NT,0,0.5,Cat 3
H,L,L,H,H,H,NA,H,H,H,H,H,NT,NT,N,NT,S,N,N,N,N,NT,418,3.2,Cat 4
L,L,L,H,H,H,I,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,500,360,4.7,Cat 4
H,L,P,L,L,NT,NT,L,NT,NT,NT,H,NT,NA,Y,NT,S,N,N,N,N,NT,0,0.5,Cat 1
P,H,P,H,L,H,I,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,800,210,3.3,Cat 5
H,H,H,NT,L,H,H,L,H,H,H,H,NT,0,N,NT,S,N,N,N,N,180,279,10.6,Cat 4
H,P,L,H,L,H,H,H,H,NA,H,H,N,NA,N,N,S,N,N,N,N,200,127,10.6,Cat 4
H,L,L,H,L,H,NT,NT,NT,NA,H,H,NT,NA,N,NT,S,N,N,N,N,180,101,10.6,Cat 3
H,H,H,H,H,H,I,H,P,NT,H,H,NT,NA,N,NT,S,N,N,N,N,200,374,2.5,Cat 4
H,H,H,NT,I,I,NA,I,NT,NA,NA,St.OP,NT,NA,N,NT,S,N,N,N,N,50,322,3.1,Cat 4
L,H,L,H,H,L,L,L,NT,NT,ST.OP,H,NT,NA,N,NT,C,N,Y,N,N,15,62,3,Cat 5
H,H,H,H,H,H,H,H,NT,H,L,St.OP,Y,NA,N,Y,C,N,Y,N,N,20,284,3,Cat 4
H,H,H,H,H,H,H,NT,NT,NT,H,H,Y,NA,N,Y,C,N,Y,N,N,20,264,3,Cat 4
L,L,H,H,H,L,L,H,NT,H,L,St.OP,Y,NA,N,Y,C,,Y,N,N,0,118,6,Cat 3
H,H,H,H,H,H,H,H,H,L,H,NT,NT,0,N,NT,C,N,Y,N,N,95,350,3,Cat 4
H,L,H,H,L,H,H,H,H,L,H,H,N,0,N,N,C,N,Y,N,N,60,249,0,Cat 3
H,P,H,H,H,H,H,L,H,L,L,H,Y,0,N,Y,C,,Y,N,N,15,584,0,Cat 4
H,L,H,H,NA,H,H,L,H,L,L,H,N,NA,N,N,C,,Y,N,N,10,588,1,Cat 3
H,H,H,H,H,H,NA,H,H,L,H,H,N,200,N,N,S,N,Y,N,N,40,480,2,Cat 4
H,H,H,H,H,H,NA,H,H,H,H,H,Y,0,N,Y,S,N,Y,N,N,30,120,1.1,Cat 4
H,H,H,H,H,H,NA,H,H,L,H,H,N,0,N,N,S,N,Y,N,N,200,768,3,Cat 4
H,H,H,H,H,L,L,H,H,H,H,H,N,NA,N,N,S,N,Y,N,N,2,620,1.9,Cat 5
H,P,H,P,H,H,H,H,L,H,H,H,NT,NT,N,NT,S,N,Y,N,N,5,87,0.5,Cat 5
H,L,H,H,H,H,H,L,H,H,H,H,N,0,N,N,S,Y,Y,N,N,6,140,1.3,Cat 3
H,H,P,H,H,H,H,L,H,H,L,H,N,0,N,N,S,N,Y,N,N,3,310,1.6,Cat 4
H,H,P,NA,L,H,H,H,H,H,H,ST.OP,N,0,N,N,S,N,Y,N,N,3,251,1.2,Cat 4
H,H,L,H,P,H,H,H,H,H,H,H,N,0,N,N,S,N,Y,N,N,0,507,1,Cat 5
H,H,H,H,NA,H,H,H,H,H,H,St.OP,N,NA,N,N,S,N,Y,N,N,3,371,2.3,Cat 4
H,H,H,H,H,H,H,H,H,H,H,H,N,0,N,N,S,N,Y,N,N,2,583,2,Cat 5
H,H,H,H,H,H,H,H,H,L,H,H,N,1100,N,N,S,N,Y,N,N,2,792,2,Cat 4
P,H,H,H,NA,H,H,NT,NT,L,L,H,N,350,N,N,S,N,Y,N,N,5,1363,2,Cat 4
H,H,H,H,H,H,I,H,H,H,ST.OP,H,N,0,N,N,S,N,Y,N,N,20,1131,2,Cat 5
H,H,H,H,H,H,I,H,H,H,H,H,N,NT,N,N,S,N,Y,N,N,5,270,1.8,Cat 5
H,H,H,H,H,ST.OP,ST.OP,H,H,H,H,H,N,NT,N,N,S,N,Y,N,N,5,664,2,Cat 5
H,H,H,H,H,H,NA,H,H,H,H,ST.OP,N,0,N,N,S,Y,Y,N,N,10,120,1.2,Cat 4
H,H,H,H,H,I,NA,H,H,L,I,NT,NT,0,N,NT,S,N,Y,N,N,10,308,2.64,Cat 4
H,H,H,H,NA,L,NA,H,L,NA,L,NT,NT,0,N,NT,S,N,Y,N,N,20,326,1,Cat 4
H,L,H,H,H,H,H,L,H,H,H,H,Y,0,N,Y,S,N,Y,N,N,60,246,2.2,Cat 3
H,H,H,H,H,H,NT,H,H,H,H,H,N,0,N,N,S,N,Y,N,N,30,303,2.2,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,NT,N,N,S,N,N,N,N,40,378,1.3,Cat 5
H,H,H,H,H,H,H,H,H,H,H,H,N,215,N,N,S,N,Y,N,N,10,869,3.5,Cat 5
L,H,H,NT,H,L,I,H,H,L,L,ST.OP,N,0,N,N,S,N,Y,N,N,25,110,1.34,Cat 4
H,H,H,L,L,H,H,L,H,NA,H,H,Y,0,N,Y,S,N,Y,N,N,15,439,2,Cat 2
H,H,H,H,L,L,I,H,H,H,L,St.OP,Y,0,N,Y,S,N,Y,N,N,10,108,2,Cat 4
P,L,H,NA,P,NT,NT,L,NT,NT,NT,NT,NT,NT,N,NT,S,N,Y,N,N,16,115,1.8,Cat 3
H,H,P,P,H,NT,NT,H,NT,NT,NT,NT,Y,0,Y,Y,S,N,Y,N,N,25,244,4.5,Cat 2
H,ST.OP,H,NA,H,L,L,H,NT,NA,NA,H,NT,200,N,NT,S,N,Y,N,N,0,175.2,0.15,Cat 3
H,H,H,NA,H,L,L,H,NT,NA,NA,H,NT,0,N,NT,S,N,Y,N,N,0,2510,0.02,Cat 4
H,H,H,NA,H,L,L,NT,NT,NA,NA,H,NT,NA,N,NT,S,N,Y,N,N,0,972,0.12,Cat 4
H,H,H,NA,H,H,H,H,NT,NA,NA,H,NT,0,N,NT,S,N,Y,N,N,0,780,0.15,Cat 4
